timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
53756000,0.00486641,-0.000832041,0.00164821,4000,0,0.154396,-0.0198332,-10.3635,4000
53760000,0.00822419,-0.0172363,2.51689e-05,4000,0,0.102056,-0.0512348,-10.3801,4000
53764000,0.00640724,-0.0325943,-0.00101538,4000,0,0.0297593,-0.0406406,-10.3528,4000
53768000,0.00726685,-0.0430694,0.00332354,4000,0,0.0533415,0.0370089,-10.3033,4000
53772000,0.0138881,-0.0449881,0.00656287,4000,0,0.00921901,0.0688923,-10.3108,4000
53776000,0.0127881,-0.0314057,0.00950111,4000,0,0.0143279,0.0237548,-10.3022,4000
53780000,0.00407775,-0.0275808,0.0119043,4000,0,0.0189877,-0.0102058,-10.2782,4000
53788000,0.0187082,-0.0371318,-0.00568967,4000,0,-0.00620868,0.0830948,-10.2327,4000
53796000,0.00076074,-0.0338594,-0.00710564,4000,0,0.0979887,0.0375074,-10.2827,4000
53800000,-9.46423e-05,-0.0279483,-0.00450148,4000,0,0.0895882,0.0385245,-10.3138,4000
53808000,-0.00902,-0.0361401,-0.00724111,4000,0,0.103098,0.000241097,-10.2533,4000
53812000,0.000720573,-0.0283338,-0.00855366,4000,0,0.089801,0.0694001,-10.2292,4000
53816000,0.000845325,-0.0389849,-0.00749506,4000,0,0.110998,0.0159052,-10.2618,4000
53820000,-0.0100442,-0.0479458,0.0031253,4000,0,0.133224,-0.00124655,-10.2971,4000
53824000,0.00501103,-0.0316057,-0.00368874,4000,0,0.124584,0.0382935,-10.3082,4000
53828000,0.0193294,-0.0172543,-0.0177471,4000,0,0.0532351,0.0398667,-10.2948,4000
53836000,0.0137732,-0.0243711,-0.00608865,4000,0,-0.0478499,0.0571615,-10.2851,4000
53840000,0.00412946,-0.0262115,-0.00578991,4000,0,-0.0472429,0.0537384,-10.2862,4000
53848000,-0.00554353,-0.0225827,-0.00884161,4000,0,0.0286491,0.00785288,-10.18,4000
53852000,-0.0107483,-0.0321139,-0.00547316,4000,0,-0.00487032,0.00051239,-10.2025,4000
53856000,-0.00723832,-0.0211946,-0.00335127,4000,0,0.00273529,0.00604508,-10.2787,4000
53860000,-0.0134038,-0.00679271,0.00417077,4000,0,0.0586888,-0.0281186,-10.2962,4000
53868000,0.0135991,0.0037537,0.0113028,4000,0,0.0408799,-0.0330022,-10.239,4000
53872000,0.0027733,-0.00119131,0.00705247,4000,0,-0.00566247,-0.0317285,-10.2742,4000
53876000,-0.00176271,-0.00397901,-0.000479264,4000,0,0.0109971,-0.0293084,-10.2906,4000
53880000,-0.000288029,-0.0147487,0.000928239,4000,0,0.0205848,-0.0576404,-10.3138,4000
53884000,0.00315098,-0.0227228,0.00721465,4000,0,0.0470253,0.00259411,-10.3187,4000
53888000,0.000823564,-0.035521,-0.00338529,4000,0,0.0794945,0.0136153,-10.2776,4000
53892000,-0.00735033,-0.0350981,-0.000360791,4000,0,0.0512484,0.0348959,-10.2095,4000
53900000,0.00540756,-0.018463,-0.000207078,4000,0,-0.0157649,0.0185671,-10.3141,4000
53908000,-0.0146581,-0.021135,-0.000664411,4000,0,0.0368623,-0.0284609,-10.3024,4000
53912000,-0.00725626,-0.0211031,0.0058539,4000,0,0.0464529,-0.0290076,-10.3149,4000
53916000,-0.0033626,-0.0195066,0.00443401,4000,0,0.0228883,0.0498989,-10.3306,4000
53920000,-0.0114699,-0.0080561,-0.01104,4000,0,-0.0119778,0.0533309,-10.241,4000
53924000,-0.0084037,0.0141472,-0.0192095,4000,0,0.0299893,0.00837911,-10.2088,4000
53928000,-0.000179934,0.0105844,-0.0130338,4000,0,0.035287,-0.0310712,-10.3109,4000
53932000,-0.00372747,-0.000735784,-0.00518636,4000,0,-0.0291927,-0.0261505,-10.34,4000
53936000,-0.00440229,-0.0040612,0.0006226,4000,0,-0.0286788,-0.0457612,-10.3111,4000
53940000,0.00278916,-0.000240473,-0.00781112,4000,0,0.0100024,-0.0313393,-10.3227,4000
53944000,0.00896624,-0.00111809,-0.0129254,4000,0,0.0171719,-0.0523255,-10.2573,4000
53952000,0.00590987,-0.0317561,-0.0063948,4000,0,0.00877037,-0.0537806,-10.3191,4000
53956000,0.0143566,-0.0387211,-0.00174436,4000,0,0.0247774,-0.00611737,-10.3321,4000
53960000,0.013293,-0.0350048,0.00121003,4000,0,-0.0163504,-0.00578672,-10.2518,4000
53964000,0.00566758,-0.0161024,-0.000425277,4000,0,-0.00223287,-0.0374111,-10.2308,4000
53968000,-0.00212795,-0.00411335,0.00137572,4000,0,0.0297376,-0.0374878,-10.2509,4000
53976000,-0.00455244,0.00953648,-0.00113967,4000,0,0.0349398,-0.029336,-10.311,4000
53984000,0.00119095,-0.00226719,-0.00841646,4000,0,-0.0461819,-0.0671436,-10.3255,4000
53988000,0.00802256,-0.00176272,-0.0109045,4000,0,-0.0050543,-0.00522256,-10.2523,4000
53992000,0.0171794,-0.00337815,-0.00443296,4000,0,0.0541942,0.040761,-10.222,4000
53996000,0.00557695,-0.0169131,0.0100468,4000,0,-0.0243598,-0.0167903,-10.218,4000
54000000,0.00303746,-0.0206689,0.0104836,4000,0,-0.0753318,-0.045185,-10.2671,4000
54008000,0.0192514,-0.0235282,-0.00528428,4000,0,0.00915181,-0.0376507,-10.3121,4000
54012000,0.004597,-0.00765616,-0.00414646,4000,0,0.0219656,0.00186994,-10.3202,4000
54020000,0.00751433,0.0113764,-0.00150092,4000,0,-0.00787649,-0.0369721,-10.3082,4000
54024000,-0.000180733,0.0304333,-0.00550921,4000,0,0.0288204,-0.0222091,-10.3279,4000
