timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
77232000,6,1493.14,1486.79,1496.89,1489.7,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77328000,6,1499.83,1490.76,1494.27,1482.2,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77428000,6,1493.74,1487.32,1491.77,1493.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77528000,6,1493.12,1496.46,1488.77,1487.55,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77628000,6,1514.31,1517.34,1465.72,1466.07,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77728000,6,1502.12,1506.87,1469.17,1477.84,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77828000,6,1725.6,1725.17,1236.45,1271.42,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77928000,6,1651.18,1645.52,1322.06,1344.96,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78032000,6,1335.53,1335.76,1651.02,1639.22,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78128000,6,1344.77,1362.95,1645.5,1608.39,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78228000,6,1379.79,1380.79,1607.31,1592.1,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78332000,6,1408.02,1416.09,1562.01,1576.2,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78432000,6,1442.86,1442.27,1540.1,1540.75,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78532000,6,1473.16,1460.59,1522.6,1510.29,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78628000,6,1493.45,1480.58,1494.81,1497.61,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78728000,6,1504.35,1499.86,1477.6,1480.99,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78828000,6,1516.59,1509.29,1462.42,1474.61,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78928000,6,1523.79,1506.51,1461.8,1468.69,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79028000,6,1517.34,1518.0,1460.36,1466.14,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79128000,6,1508.89,1521.65,1469.97,1463.46,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79232000,6,1502.03,1526.82,1465.4,1470.18,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79328000,6,1513.86,1498.78,1478.25,1474.02,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79428000,6,1502.99,1496.8,1492.03,1469.71,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79528000,6,1494.83,1497.67,1486.18,1481.77,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
