timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
96488000,-0.0335289,-0.0435924,0.010369,0.10922,0.00467857,0.0662388,0.991797,0.0,0.0,0.0,0.0,0
96504000,-0.0495716,-0.0392597,0.00788949,0.109166,0.00493579,0.0658901,0.991825,0.0,0.0,0.0,0.0,0
96512000,-0.0496444,-0.050668,0.00653735,0.109148,0.00508374,0.0656725,0.991841,0.0,0.0,0.0,0.0,0
96520000,-0.0490409,-0.0419495,0.00518687,0.109137,0.00526119,0.0654563,0.991855,0.0,0.0,0.0,0.0,0
96536000,-0.0576065,-0.013183,0.00351735,0.109117,0.0054274,0.0650166,0.991886,0.0,0.0,0.0,0.0,0
96552000,-0.0487915,-0.0431629,0.00139801,0.109108,0.00555832,0.0645622,0.991915,0.0,0.0,0.0,0.0,0
96560000,-0.0460159,-0.0412952,0.000409222,0.109116,0.00571298,0.0643509,0.991927,0.0,0.0,0.0,0.0,0
96576000,-0.0512984,-0.0221743,-0.00141258,0.109138,0.00591562,0.0639494,0.99195,0.0,0.0,0.0,0.0,0
96584000,-0.0511414,-0.0256717,-0.00229609,0.109151,0.00598491,0.0637361,0.991962,0.0,0.0,0.0,0.0,0
96600000,-0.0412148,-0.0232636,-0.00387017,0.10919,0.00616093,0.0633473,0.991981,0.0,0.0,0.0,0.0,0
96608000,-0.0427262,-0.00901948,-0.00463911,0.109213,0.00622157,0.0631731,0.991989,0.0,0.0,0.0,0.0,0
96616000,-0.0438548,-0.00203782,-0.00541189,0.109234,0.00622139,0.0630032,0.991998,0.0,0.0,0.0,0.0,0
96632000,-0.0484056,-0.033172,-0.00681323,0.109291,0.00628037,0.0626177,0.992016,0.0,0.0,0.0,0.0,0
96648000,-0.0451103,-0.0222925,-0.00823693,0.109369,0.00651782,0.0622142,0.992031,0.0,0.0,0.0,0.0,0
96656000,-0.0432985,-0.00197519,-0.00876065,0.109408,0.00656383,0.062029,0.992038,0.0,0.0,0.0,0.0,0
96672000,-0.0456553,-0.0251993,-0.00955208,0.109485,0.00656234,0.0616946,0.99205,0.0,0.0,0.0,0.0,0
96680000,-0.0525689,-0.0419412,-0.0101349,0.109532,0.00666021,0.0614924,0.992057,0.0,0.0,0.0,0.0,0
96696000,-0.0465585,-0.0119683,-0.0111347,0.109635,0.00687624,0.0610625,0.992071,0.0,0.0,0.0,0.0,0
96704000,-0.0479576,0.00289352,-0.0118092,0.109683,0.00687956,0.0608734,0.992077,0.0,0.0,0.0,0.0,0
96720000,-0.0356862,-0.026662,-0.0129649,0.109784,0.00688453,0.0605267,0.992087,0.0,0.0,0.0,0.0,0
96728000,-0.0354811,-0.0371712,-0.0135176,0.109844,0.00698435,0.0603726,0.992089,0.0,0.0,0.0,0.0,0
96744000,-0.0448026,-0.00952855,-0.0148129,0.109972,0.00718541,0.06005,0.992093,0.0,0.0,0.0,0.0,0
96752000,-0.0506998,-0.00404599,-0.0153056,0.110035,0.00718841,0.0598622,0.992097,0.0,0.0,0.0,0.0,0
96768000,-0.0438323,-0.013203,-0.0157449,0.110165,0.00720206,0.0594516,0.992108,0.0,0.0,0.0,0.0,0
96776000,-0.0357597,-0.0127622,-0.0161216,0.110232,0.00723097,0.0592846,0.99211,0.0,0.0,0.0,0.0,0
