%timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
12952000,0.0,0.610865,-0.0366033,0.0,0.953557,0.00550311,0.300655,-0.0174536,0.0,0.0,-0.08,1,0,0,0,0,0
13052000,0.0,0.610865,-0.0366617,0.0,0.953557,0.00551188,0.300655,-0.0174814,0.0,0.0,-0.08,1,0,0,0,0,0
13152000,0.0,0.610865,-0.0368896,0.0,0.953555,0.00554614,0.300655,-0.0175901,0.0,0.0,-0.08,1,0,0,0,0,0
13252000,0.0,0.610865,-0.0368571,0.0,0.953555,0.00554126,0.300655,-0.0175746,0.0,0.0,-0.08,1,0,0,0,0,0
13348000,0.0,0.610865,-0.0371378,0.0,0.953553,0.00558345,0.300654,-0.0177084,0.0,0.0,-0.08,1,0,0,0,0,0
13452000,0.0,0.610865,-0.0374767,0.0,0.95355,0.0056344,0.300653,-0.01787,0.0,0.0,-0.08,1,0,0,0,0,0
13548000,0.0,0.610865,-0.0374897,0.0,0.953549,0.00563636,0.300653,-0.0178763,0.0,0.0,-0.08,1,0,0,0,0,0
13652000,0.0,0.610865,-0.0375046,0.0,0.953549,0.0056386,0.300653,-0.0178833,0.0,0.0,-0.08,1,0,0,0,0,0
13756000,0.0,0.610865,-0.0370945,0.0,0.953553,0.00557695,0.300654,-0.0176878,0.0,0.0,-0.08,1,0,0,0,0,0
13848000,0.0,0.610865,-0.0370481,0.0,0.953553,0.00556997,0.300654,-0.0176657,0.0,0.0,-0.08,1,0,0,0,0,0
13956000,0.0,0.610865,-0.0370837,0.0,0.953553,0.00557532,0.300654,-0.0176826,0.0,0.0,-0.08,1,0,0,0,0,0
14056000,0.0,0.610865,-0.0371802,0.0,0.953552,0.00558983,0.300654,-0.0177287,0.0,0.0,-0.08,1,0,0,0,0,0
14152000,0.0,0.610865,-0.0373257,0.0,0.953551,0.0056117,0.300653,-0.017798,0.0,0.0,-0.08,1,0,0,0,0,0
14252000,0.0,0.610865,-0.0371263,0.0,0.953553,0.00558173,0.300654,-0.017703,0.0,0.0,-0.08,1,0,0,0,0,0
14352000,0.0,0.610865,-0.0374676,0.0,0.95355,0.00563303,0.300653,-0.0178657,0.0,0.0,-0.08,1,0,0,0,0,0
14452000,0.0,0.610865,-0.0375694,0.0,0.953549,0.00564833,0.300653,-0.0179142,0.0,0.0,-0.08,1,0,0,0,0,0
14556000,0.0,0.610865,-0.0373238,0.0,0.953551,0.00561142,0.300653,-0.0177971,0.0,0.0,-0.08,1,0,0,0,0,0
14652000,0.0,0.610865,-0.0373755,0.0,0.95355,0.00561919,0.300653,-0.0178218,0.0,0.0,-0.08,1,0,0,0,0,0
14748000,0.0,0.610865,-0.0372245,0.0,0.953552,0.0055965,0.300654,-0.0177498,0.0,0.0,-0.08,1,0,0,0,0,0
14852000,0.0,0.610865,-0.0370029,0.0,0.953554,0.00556317,0.300654,-0.0176441,0.0,0.0,-0.08,1,0,0,0,0,0
14952000,0.0,0.610865,-0.036841,0.0,0.953555,0.00553884,0.300655,-0.017567,0.0,0.0,-0.08,1,0,0,0,0,0
15052000,0.0,0.610865,-0.0363388,0.0,0.95356,0.00546334,0.300656,-0.0173275,0.0,0.0,-0.08,1,0,0,0,0,0
15152000,0.0,0.610865,-0.0360678,0.0,0.953562,0.0054226,0.300657,-0.0171983,0.0,0.0,-0.08,1,0,0,0,0,0
15252000,0.0,0.610865,-0.0360598,0.0,0.953562,0.0054214,0.300657,-0.0171945,0.0,0.0,-0.08,1,0,0,0,0,0
